V1,Treatment,Condition,Duration,Dose,narrow_group,broad_group
IL2@Condition:peripheral blood T lymphocytes@GSE13909.MicroArray.HG-U133_Plus_2,IL2,Peripheral Blood T Lymphocyte,,,,Tcell
IFNB@Condition:Plasmacytoid dendritic cells (pDCs)@GSE37750.MicroArray.HG-U133_Plus_2,IFNB,Plasmacytoid Dendritic Cells,,,,pDC
TGFB1&Duration:1d@Condition:primary airway epithelial cells@GSE84135.RNASeq.SRP078053_GRCh38,TGFB1,Primary Airway Epithelial,1d,,Lung_Epithelial,Epithelial
TGFB1&Duration:3d@Condition:primary airway epithelial cells@GSE84135.RNASeq.SRP078053_GRCh38,TGFB1,Primary Airway Epithelial,3d,,Lung_Epithelial,Epithelial
TGFB1@Condition:primary human alveolar cells type 2&Duration:48h@GSE100854.MicroArray.GPL13497,TGFB1,Primary Alveolar Cells Type2,48h,,Lung_Epithelial,Epithelial
CD40L&Duration:18h@Condition:Primary B cells@GSE132835.RNASeq.SRP201603_GRCh38,CD40L,Primary B,18h,,,Bcell
CD40L&Duration:1h@Condition:Primary B cells@GSE132835.RNASeq.SRP201603_GRCh38,CD40L,Primary B,1h,,,Bcell
IFNB@Condition:human primary B cells&Duration:3h@GSE23307.MicroArray.GPL6104,IFNB,Primary B,3h,,,Bcell
CD40L@Condition:primary blood Dendritic cells&Duration:12h@GSE73542.MicroArray.HG-U133_Plus_2,CD40L,Primary Blood Dendritic,12h,,,DC
CD40L@Condition:primary blood Dendritic cells&Duration:6h@GSE73542.MicroArray.HG-U133_Plus_2,CD40L,Primary Blood Dendritic,6h,,,DC
IL4@Condition:primary bronchial epithelial cells&Duration:12h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,Primary Bronchial Epithelial,12h,,Lung_Epithelial,Epithelial
IL4@Condition:primary bronchial epithelial cells&Duration:24h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,Primary Bronchial Epithelial,24h,,Lung_Epithelial,Epithelial
IL4@Condition:primary bronchial epithelial cells&Duration:6h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,Primary Bronchial Epithelial,6h,,Lung_Epithelial,Epithelial
IL4@Condition:primary bronchial epithelial cells&Duration:72h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,Primary Bronchial Epithelial,72h,,Lung_Epithelial,Epithelial
CX3CL1@Condition:human primary CD16+ monocytes@E-MTAB-7484.MicroArray.HuGene-2_0-st,CX3CL1,Primary Cd16+ Monocyte,,,,Mac_Mono
IFNG@Condition:Primary human fibroblasts&Duration:24h@GSE106523.MicroArray.GPL13497,IFNG,Primary Fibroblast,24h,,,Fibroblast
IFNG@Condition:Primary human fibroblasts&Duration:3h@GSE106523.MicroArray.GPL13497,IFNG,Primary Fibroblast,3h,,,Fibroblast
IFNG@Condition:Primary human fibroblasts&Duration:6h@GSE106523.MicroArray.GPL13497,IFNG,Primary Fibroblast,6h,,,Fibroblast
TGFB1@Condition:primary human lung fibroblasts_no treatment&Duration:24h@GSE102674.RNASeq.SRP115472_GRCh38,TGFB1,Primary Lung Fibroblasts_No Treatment,24h,,Lung_Fibroblast,Fibroblast
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:24h@GSE106524.MicroArray.GPL13497,IFNG,Primary Lung Microvascular Endothelial,24h,,Lung_Endothelial,Endothelial
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:3h@GSE106524.MicroArray.GPL13497,IFNG,Primary Lung Microvascular Endothelial,3h,,Lung_Endothelial,Endothelial
IFNG@Condition:Primary human lung microvascular endothelial cells&Duration:6h@GSE106524.MicroArray.GPL13497,IFNG,Primary Lung Microvascular Endothelial,6h,,Lung_Endothelial,Endothelial
IFNG@Condition:human primary macrophages@GSE66809.RNASeq.SRP056098_GRCh38,IFNG,Primary Macrophage,,,,Mac_Mono
TNFA@Condition:primary macrophages@GSE46599.MicroArray.GPL10558,TNFA,Primary Macrophage,,,,Mac_Mono
TNFA@Condition:primary macrophages@GSE95588.RNASeq.SRP100947_GRCh38,TNFA,Primary Macrophage,,,,Mac_Mono
IFNG@Condition:Primary monocytes@GSE86298.MicroArray.HuGene-1_0-st-v1,IFNG,Primary Monocyte,,,,Mac_Mono
IL4@Condition:Primary monocytes@GSE86298.MicroArray.HuGene-1_0-st-v1,IL4,Primary Monocyte,,,,Mac_Mono
PDGFD@Condition:primary NK cells@GSE107047.RNASeq.SRP125179_GRCh38,PDGFD,Primary Nk,,,,NK
TNFA@Condition:primary CD4+ T cells@GSE46599.MicroArray.GPL10558,TNFA,Primary T Cd4,,,,Tcell
GDF2@Condition:pulmonary artery endothelial cells&Duration:1.5h@GSE119206.MicroArray.HuGene-2_1-st,GDF2,Pulmonary Artery Endothelial,1.5h,,,Endothelial
TGFB1@Condition:Human pulmonary artery smooth muscle cells@GSE131998.RNASeq.SRP199934_GRCh38,TGFB1,Pulmonary Artery Smooth Muscle,,,,Smooth_muscle
IL2@Condition:purified naive B cells from blood&Duration:4d-6h@GSE36975.MicroArray.GPL10558,IL2,Purified Naive B Cells From Blood,4d-6h,,,Bcell
IL2@Condition:purified naive B cells from blood&Duration:6h@GSE36975.MicroArray.GPL10558,IL2,Purified Naive B Cells From Blood,6h,,,Bcell
TNFA&Duration:12h@Condition:small airway epithelial cell line@GSE61220.RNASeq.SRP046376_GRCh38,TNFA,Small Airway Epithelial,12h,,Lung_Epithelial,Epithelial
TNFA&Duration:1h@Condition:small airway epithelial cell line@GSE61220.RNASeq.SRP046376_GRCh38,TNFA,Small Airway Epithelial,1h,,Lung_Epithelial,Epithelial
TGFB1@Condition:smooth muscle cells (HASMC)@GSE134555.RNASeq.SRP215472_GRCh38,TGFB1,Smooth Muscle Cells,,,,Smooth_muscle
IL2@Condition:spleen-derived T lymphocytes@GSE13909.MicroArray.HG-U133_Plus_2,IL2,Spleen-Derived T Lymphocyte,,,,Tcell
TGFB1@Condition:Squamous cell lung carcinoma cell line&Duration:24h@GSE95536.RNASeq.SRP100878_GRCh38,TGFB1,Squamous Cell Lung Carcinoma,24h,,Lung_Squamous_Cell_Carcinoma,Lung_tumor
TGFB1@Condition:Squamous cell lung carcinoma cell line&Duration:48h@GSE95536.RNASeq.SRP100878_GRCh38,TGFB1,Squamous Cell Lung Carcinoma,48h,,Lung_Squamous_Cell_Carcinoma,Lung_tumor
TGFB1@Condition:Squamous cell lung carcinoma cell line&Duration:8h@GSE95536.RNASeq.SRP100878_GRCh38,TGFB1,Squamous Cell Lung Carcinoma,8h,,Lung_Squamous_Cell_Carcinoma,Lung_tumor
EGF&Duration:1h@Condition:SV589@GSE50982.MicroArray.GPL10558,EGF,Sv589,1h,,,Fibroblast
EGF&Duration:3h@Condition:SV589@GSE50982.MicroArray.GPL10558,EGF,Sv589,3h,,,Fibroblast
CCL19@Condition:T cell@GSE12449.MicroArray.GPL1708,CCL19,T,,,,Tcell
CXCL12@Condition:T cell@GSE12449.MicroArray.GPL1708,CXCL12,T,,,,Tcell
IL23&Dose:100ng/ml@Condition:T cells&Duration:22h@GSE10080.MicroArray.GPL6102,IL23,T,22h,100ng/mL,,Tcell
NO&Dose:600 uM_Duration:24h@Condition:T cell@GSE13887.MicroArray.HG-U133_Plus_2,NO,T,24h,600uM,,Tcell
TGFB1@Condition:CD4+ T cell_activated via CD3CD28@GSE17946.MicroArray.GPL2507,TGFB1,T Cd4 Cell_Activated Via Cd3Cd28,,,,Tcell
IL6&Dose:10 ng/ml@Condition:T CD4+CD25-&Duration:24h@GSE78922.RNASeq.SRP071170_GRCh38,IL6,T Cd4Cd25-,24h,10ng/mL,,Tcell
IL12@Condition:CD4+ Th cell&Duration:12h@GSE32959.MicroArray.HG-U133_Plus_2,IL12,T Cd4h,12h,,,Tcell
IL12@Condition:CD4+ Th cell&Duration:24h@GSE32959.MicroArray.HG-U133_Plus_2,IL12,T Cd4h,24h,,,Tcell
IL12@Condition:CD4+ Th cell&Duration:48h@GSE32959.MicroArray.HG-U133_Plus_2,IL12,T Cd4h,48h,,,Tcell
IL12@Condition:CD4+ Th cell&Duration:72h@GSE32959.MicroArray.HG-U133_Plus_2,IL12,T Cd4h,72h,,,Tcell
IL4@Condition:CD4+ Th cell&Duration:12h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,T Cd4h,12h,,,Tcell
IL4@Condition:CD4+ Th cell&Duration:24h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,T Cd4h,24h,,,Tcell
IL4@Condition:CD4+ Th cell&Duration:48h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,T Cd4h,48h,,,Tcell
IL4@Condition:CD4+ Th cell&Duration:72h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,T Cd4h,72h,,,Tcell
TGFB1@Condition:CD4 Thelper&Duration:24h@GSE14330.MicroArray.HG-U133A_2,TGFB1,T Cd4helper,24h,,,Tcell
TGFB1@Condition:CD4 Thelper&Duration:6h@GSE14330.MicroArray.HG-U133A_2,TGFB1,T Cd4helper,6h,,,Tcell
IL10@Condition:T CD8@GSE79127.MicroArray.HG-U133A_2,IL10,T Cd8,,,,Tcell
IL2@Condition:T CD8@GSE64713.RNASeq.SRP051736_GRCh38,IL2,T Cd8,,,,Tcell
PDL1@Condition:CD8+ T cells&Duration:24h@GSE122149.RNASeq.SRP167845_GRCh38,PDL1,T Cd8,24h,,,Tcell
PDL1@Condition:CD8+ T cells&Duration:48h@GSE122149.RNASeq.SRP167845_GRCh38,PDL1,T Cd8,48h,,,Tcell
PDL1@Condition:CD8+ T cells&Duration:6h@GSE122149.RNASeq.SRP167845_GRCh38,PDL1,T Cd8,6h,,,Tcell
TGFB1&Dose:5 ng/ml@Condition:CD8 T cells&Duration:7d@GSE87508.RNASeq.SRP090680_GRCh38,TGFB1,T Cd8,7d,5ng/mL,,Tcell
IFNA@Condition:T CD8_with anti CD3/CD8&Duration:48h@GSE17301.MicroArray.HG-U133A_2,IFNA,T Cd8_With Anti Cd3/Cd8,48h,,,Tcell
IFNB@Condition:T lymphocytes@GSE34627.MicroArray.GPL6884,IFNB,T Lymphocyte,,,,Tcell
IFNA@Condition:Th0&Duration:5d@GSE54627.MicroArray.HuGene-1_1-st-v1,IFNA,Th0,5d,,,Tcell
IFNA@Condition:Th0&Duration:5d+4h@GSE54627.MicroArray.HuGene-1_1-st-v1,IFNA,Th0,5d+4h,,,Tcell
IFNA@Condition:Th1&Duration:5d@GSE54627.MicroArray.HuGene-1_1-st-v1,IFNA,Th1,5d,,,Tcell
IFNA@Condition:Th1&Duration:5d+4h@GSE54627.MicroArray.HuGene-1_1-st-v1,IFNA,Th1,5d+4h,,,Tcell
TGFB1&Dose:3 ng/ml@Condition:Th1 cells@GSE2770.MicroArray.HG-U133A,TGFB1,Th1,,3ng/mL,,Tcell
IFNA@Condition:Th17&Duration:5d@GSE54627.MicroArray.HuGene-1_1-st-v1,IFNA,Th17,5d,,,Tcell
IFNA@Condition:Th17&Duration:5d+4h@GSE54627.MicroArray.HuGene-1_1-st-v1,IFNA,Th17,5d+4h,,,Tcell
IFNA@Condition:Th2&Duration:5d@GSE54627.MicroArray.HuGene-1_1-st-v1,IFNA,Th2,5d,,,Tcell
IFNA@Condition:Th2&Duration:5d+4h@GSE54627.MicroArray.HuGene-1_1-st-v1,IFNA,Th2,5d+4h,,,Tcell
TGFB1&Dose:3 ng/ml@Condition:Th2 cells@GSE2770.MicroArray.HG-U133A,TGFB1,Th2,,3ng/mL,,Tcell
IFNB&Dose:100 IU/mL@Condition:THP-1&Duration:20h@GSE74047.MicroArray.GPL16699,IFNB,Thp1,20h,100IU/mL,,Mac_Mono
IFNB&Dose:25 IU/mL@Condition:THP-1&Duration:20h@GSE74047.MicroArray.GPL16699,IFNB,Thp1,20h,25IU/mL,,Mac_Mono
IFNB@Condition:THP1@GSE128113.RNASeq.SRP188099_GRCh38,IFNB,Thp1,,,,Mac_Mono
IFNB&Dose:100 u/m@Condition:THP1@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,IFNB,Thp1,,100U/m,,Mac_Mono
IFNG&Dose:100 u/m@Condition:THP1@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,IFNG,Thp1,,100U/m,,Mac_Mono
IFNG&Duration:2d@Condition:THP1@GSE58096.MicroArray.HG-U133_Plus_2,IFNG,Thp1,2d,,,Mac_Mono
IFNG&Duration:4d@Condition:THP1@GSE58096.MicroArray.HG-U133_Plus_2,IFNG,Thp1,4d,,,Mac_Mono
IFNG&Dose:100 nM_Duration:1d@Condition:THP-1@E-MTAB-5917.MicroArray.HG-U133_Plus_2,IFNG,Thp1,1d,100nM,,Mac_Mono
IFNG&Dose:100ng/ml_Duration:20h@Condition:THP1@GSE132408.RNASeq.SRP200817_GRCh38,IFNG,Thp1,20h,100ng/mL,,Mac_Mono
IL17A&Dose:100 ng/ml@Condition:THP1@GSE37659.MicroArray.HG-U133_Plus_2,IL17A,Thp1,,100ng/mL,,Mac_Mono
IL27&Dose:100ng/ml_Duration:18h@Condition:THP1@GSE143228.MicroArray.HG-U133_Plus_2,IL27,Thp1,18h,100ng/mL,,Mac_Mono
IL4&Dose:100 nM_Duration:2d@Condition:THP-1@E-MTAB-5917.MicroArray.HG-U133_Plus_2,IL4,Thp1,2d,100nM,,Mac_Mono
TNFA&Dose:5 ng/ml_Duration:24h@Condition:THP-1 cells@GSE28995.MicroArray.HG-U133_Plus_2,TNFA,Thp1,24h,5ng/mL,,Mac_Mono
TNFA@Condition:THP-1 (monocytic cell line)@GSE46599.MicroArray.GPL10558,TNFA,Thp1,,,,Mac_Mono
TNFA&Dose:10ng/mL_Duration:2h@Condition:THP1@GSE26868.MicroArray.HG-U133_Plus_2,TNFA,Thp1,2h,10ng/mL,,Mac_Mono
IL6&Dose:50 ng/ml@Condition:THP-1 macrophage&Duration:2h@GSE126525.MicroArray.GPL26190,IL6,Thp1 Macrophage,2h,50ng/mL,,Mac_Mono
TNFA&Dose:10 ng/ml@Condition:THP-1 macrophage&Duration:2h@GSE126525.MicroArray.GPL26190,TNFA,Thp1 Macrophage,2h,10ng/mL,,Mac_Mono
IGF1&Dose:50ng/ml_Duration:24h@Condition:Tumor Fibroblasts@GSE18952.MicroArray.GPL9551,IGF1,Tumor Fibroblast,24h,50ng/mL,,Fibroblast
IL1B@Condition:vascular endothelial cells@GSE115311.RNASeq.SRP149723_GRCh38,IL1B,Vascular Endothelial,,,,Endothelial
TNFA@Condition:vascular endothelial cells@GSE115311.RNASeq.SRP149723_GRCh38,TNFA,Vascular Endothelial,,,,Endothelial
TGFB1&Dose:10 ng/mL_Duration:24h@Condition:MRC5@GSE97829.RNASeq.SRP104002_GRCh38,TGFB1,Mrc5,24h,10ng/mL,Lung_Fibroblast,Fibroblast
TGFB1@Condition:MRC5&Duration:48h@GSE25200.MicroArray.GPL4133,TGFB1,Mrc5,48h,,Lung_Fibroblast,Fibroblast
TGFB1&Dose:10 ng/mL_Duration:24h@Condition:MRC5@GSE97833.MicroArray.GPL17077,TGFB1,Mrc5,24h,10ng/mL,Lung_Fibroblast,Fibroblast
